,0,1,2
0,"March 31, 2000",0.608637,AED UAE Dirham
0,"April 30, 2000",0.595797,AED UAE Dirham
0,"May 31, 2000",0.578235,AED UAE Dirham
0,"June 30, 2000",0.593783,AED UAE Dirham
0,"July 31, 2000",0.588344,AED UAE Dirham
0,"August 31, 2000",0.580595,AED UAE Dirham
0,"September 30, 2000",0.553183,AED UAE Dirham
0,"October 31, 2000",0.528437,AED UAE Dirham
0,"November 30, 2000",0.522436,AED UAE Dirham
0,"December 31, 2000",0.547552,AED UAE Dirham
0,"January 31, 2001",0.555634,AED UAE Dirham
0,"February 28, 2001",0.53462,AED UAE Dirham
0,"March 31, 2001",0.504155,AED UAE Dirham
0,"April 30, 2001",0.501531,AED UAE Dirham
0,"May 31, 2001",0.520594,AED UAE Dirham
0,"June 30, 2001",0.518121,AED UAE Dirham
0,"July 31, 2001",0.510379,AED UAE Dirham
0,"August 31, 2001",0.524508,AED UAE Dirham
0,"September 30, 2001",0.506944,AED UAE Dirham
0,"October 31, 2001",0.504499,AED UAE Dirham
0,"November 30, 2001",0.517075,AED UAE Dirham
0,"December 31, 2001",0.51426,AED UAE Dirham
0,"January 31, 2002",0.517389,AED UAE Dirham
0,"February 28, 2002",0.51305,AED UAE Dirham
0,"March 31, 2002",0.524835,AED UAE Dirham
0,"April 30, 2002",0.535586,AED UAE Dirham
0,"May 31, 2002",0.54908,AED UAE Dirham
0,"June 30, 2002",0.568429,AED UAE Dirham
0,"July 31, 2002",0.554785,AED UAE Dirham
0,"August 31, 2002",0.541266,AED UAE Dirham
0,"September 30, 2002",0.547205,AED UAE Dirham
0,"October 31, 2002",0.549886,AED UAE Dirham
0,"November 30, 2002",0.561445,AED UAE Dirham
0,"December 31, 2002",0.562633,AED UAE Dirham
0,"January 31, 2003",0.582156,AED UAE Dirham
0,"February 28, 2003",0.594415,AED UAE Dirham
0,"March 31, 2003",0.602405,AED UAE Dirham
0,"April 30, 2003",0.60854,AED UAE Dirham
0,"May 31, 2003",0.645614,AED UAE Dirham
0,"June 30, 2003",0.66493,AED UAE Dirham
0,"July 31, 2003",0.662814,AED UAE Dirham
0,"August 31, 2003",0.651724,AED UAE Dirham
0,"September 30, 2003",0.660245,AED UAE Dirham
0,"October 31, 2003",0.692937,AED UAE Dirham
0,"November 30, 2003",0.71572,AED UAE Dirham
0,"December 31, 2003",0.736881,AED UAE Dirham
